,MDS_x,MDS_y,country,iso_alpha,continent,tsne_x,tsne_y,scluster6,kmeans6
1296,6.87597552446408,3.6187645698067037,Saudi Arabia,SAU,Asia,-8.66525,-7.010808,3,4
1308,-3.579191236134814,1.2705378436416506,Senegal,SEN,Africa,7.199503,2.7893703,0,3
1320,2.563225604962068,-1.7865324084888794,Serbia,SRB,Europe,-3.7745507,-3.6532953,4,5
1332,-5.170751963405168,5.419091119240805,Sierra Leone,SLE,Africa,11.459876,6.438865,5,3
1344,3.999525108890761,-5.265481473434509,Singapore,SGP,Asia,-6.2276416,-5.74621,2,2
1356,3.2403147025384667,-2.099302830900374,Slovak Republic,SVK,Europe,-4.2625136,-4.251048,4,5
1368,4.510229009188097,-2.2165594061540177,Slovenia,SVN,Europe,-6.2417126,-4.1450906,2,2
1380,-4.551257452174716,4.389190065753824,Somalia,SOM,Africa,10.661752,6.222183,5,3
1392,0.32920855353171474,2.1582949448158724,South Africa,ZAF,Africa,0.49448454,2.286214,0,1
1404,4.275116265305713,-3.5287381131165705,Spain,ESP,Europe,-6.095639,-4.6749587,2,2
1416,-1.5919123184580894,-2.7454273611854556,Sri Lanka,LKA,Asia,0.6412644,-3.0008216,1,1
1428,-3.561647138918831,2.1220106830698873,Sudan,SDN,Africa,8.146522,3.733649,0,3
1440,-1.9688223125324038,3.28252950244101,Swaziland,SWZ,Africa,6.734594,5.3507323,0,3
1452,7.834396142002422,-2.5703647797868143,Sweden,SWE,Europe,-8.727465,-4.3994107,3,0
1464,12.042750626804924,-0.3826434430148452,Switzerland,CHE,Europe,-10.356149,-4.7481728,3,0
1476,-1.606594566175631,-1.1657082624432102,Syria,SYR,Asia,2.0145886,-0.73569936,1,1
1488,2.8769299110560937,-1.481493118056081,Taiwan,TWN,Asia,-4.785113,-2.6868103,2,2
1500,-3.5164568673250893,2.8733999356192834,Tanzania,TZA,Africa,8.250087,5.3788524,5,3
1512,-1.7056083470262653,-1.5173070749326103,Thailand,THA,Asia,1.5574703,-1.677628,1,1
1524,-3.22572164955181,1.4423448901820592,Togo,TGO,Africa,6.5086126,3.214955,0,3
1536,1.433941789708869,-1.6341232187101777,Trinidad and Tobago,TTO,Americas,-2.7420852,-3.005251,4,5
1548,-1.7126232308039675,-1.1056562430397512,Tunisia,TUN,Africa,2.327145,-0.55347705,1,1
1560,-1.1972352823236783,-0.5145610680642823,Turkey,TUR,Europe,1.6985853,-0.21394324,1,1
1572,-3.290276784868233,3.3099022912806397,Uganda,UGA,Africa,8.2617655,5.834277,5,3
1584,7.577427310714443,-1.5709070589000549,United Kingdom,GBR,Europe,-8.883256,-5.2322145,3,0
1596,10.713976433935542,-0.724102710865177,United States,USA,Americas,-10.06983,-4.6391397,3,0
1608,1.7107562783961663,-3.10103564327938,Uruguay,URY,Americas,-2.7529626,-4.3417687,4,5
1620,3.4257523679936432,-0.11820018260624092,Venezuela,VEN,Americas,-3.6541128,-5.021017,4,5
1632,-3.3169732455715564,-0.8605839218195553,Vietnam,VNM,Asia,3.790136,1.0402578,0,1
1644,-1.50322764536739,-0.9302275989442762,West Bank and Gaza,PSE,Asia,2.147619,-0.3279303,1,1
1656,-4.70257326476963,1.6647573031696086,"Yemen, Rep.",YEM,Asia,9.225173,3.1471648,0,3
1668,-2.796553297371924,4.32854815799751,Zambia,ZMB,Africa,8.323561,6.5477366,5,3
1680,-1.4358779101343744,3.6950654028235825,Zimbabwe,ZWE,Africa,5.973159,5.209404,0,3
